"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Testcase that an authorized user can successfully post a comment and delete it.","453","Verify that an authorized user can successfully leave and delete a comment.","tests.api.event_comment_tests","Fri Mar 27 11:00:04 UTC 2026","passed","Fri Mar 27 11:00:04 UTC 2026","","test_authorized_comment","",""
"","16258","Display empty state text when a friend has no cards","","Fri Mar 27 11:02:30 UTC 2026","passed","Fri Mar 27 11:02:46 UTC 2026","","","",""
"Test like one news page like one news","39","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 27 11:00:21 UTC 2026","passed","Fri Mar 27 11:00:21 UTC 2026","","test_get_eco_news_by_id","",""
"","1","Validate eco news retrieval by ID with different languages -- @1.8 ","","Fri Mar 27 11:01:00 UTC 2026","skipped","Fri Mar 27 11:01:00 UTC 2026","","","",""
"","1","User has no permission to check like status","","Fri Mar 27 11:01:45 UTC 2026","skipped","Fri Mar 27 11:01:45 UTC 2026","","","",""
"","3592","Try to assign a non-existent habit","","Fri Mar 27 11:02:03 UTC 2026","passed","Fri Mar 27 11:02:06 UTC 2026","","","",""
"","1635","Get eco news summary by id -- @1.3 ","","Fri Mar 27 11:01:16 UTC 2026","broken","Fri Mar 27 11:01:17 UTC 2026","","","",""
"Test like one news page like one news","34","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 27 11:00:22 UTC 2026","passed","Fri Mar 27 11:00:22 UTC 2026","","test_get_eco_news_by_id","",""
"","1809","Try to assign a habit without authorization","","Fri Mar 27 11:02:18 UTC 2026","passed","Fri Mar 27 11:02:20 UTC 2026","","","",""
"Verify that user can retrieve todo list and it matches schema","250","ToDo list smoke test with schema validation","tests.api.to_do_list_item_api_tests","Fri Mar 27 11:00:37 UTC 2026","skipped","Fri Mar 27 11:00:37 UTC 2026","","test_creating_to_do_list_item","",""
"","0","Validate eco news retrieval by ID with different languages -- @1.17 ","","Fri Mar 27 11:01:00 UTC 2026","skipped","Fri Mar 27 11:01:00 UTC 2026","","","",""
"","16753","Verify friend card content in the target user friends list","","Fri Mar 27 11:02:46 UTC 2026","passed","Fri Mar 27 11:03:03 UTC 2026","","","",""
"","38","Verify 403 Forbidden for ROLE_USER with pref 'SYSTEM' and period 'MONTHLY'","tests.api.user_notification_preference_tests","Fri Mar 27 11:00:38 UTC 2026","passed","Fri Mar 27 11:00:38 UTC 2026","","test_forbidden_user_notif_pref","",""
"","2169","Navigate through Events, Places, and Eco-news tabs","","Fri Mar 27 11:06:40 UTC 2026","broken","Fri Mar 27 11:06:43 UTC 2026","","","",""
"","1","API response structure validation","","Fri Mar 27 11:02:24 UTC 2026","skipped","Fri Mar 27 11:02:24 UTC 2026","","","",""
"Test of deletion from favorites of eco new","58","Deletion from favorites eco new by id.","tests.api.news_api_tests","Fri Mar 27 11:00:15 UTC 2026","failed","Fri Mar 27 11:00:15 UTC 2026","","test_delete_from_favourites_eco_new_by_id","",""
"TC-MP-02: Verify navigation from Main Page to Eco News page.","956","TC-MP-02: Verify navigation from Main Page to Eco News page","tests.ui.main_page_tests","Fri Mar 27 11:05:45 UTC 2026","passed","Fri Mar 27 11:05:46 UTC 2026","","test_navigation_to_eco_news_page","",""
"","3172","Delete eco news by id with invalid or restricted access -- @1.1 ","","Fri Mar 27 11:00:20 UTC 2026","broken","Fri Mar 27 11:00:23 UTC 2026","","","",""
"","1","Successfully retrieve Google Security configuration","","Fri Mar 27 11:01:45 UTC 2026","skipped","Fri Mar 27 11:01:45 UTC 2026","","","",""
"","1","Validate eco news retrieval by ID with different languages -- @1.4 ","","Fri Mar 27 11:01:00 UTC 2026","skipped","Fri Mar 27 11:01:00 UTC 2026","","","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","128","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 27 11:00:20 UTC 2026","passed","Fri Mar 27 11:00:20 UTC 2026","","test_find_eco_news_by_page","",""
"Test like one news page like one news","40","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 27 11:00:22 UTC 2026","passed","Fri Mar 27 11:00:22 UTC 2026","","test_get_eco_news_by_id","",""
"","37","Verify 403 Forbidden for ROLE_USER with pref 'COMMENTS' and period 'DAILY'","tests.api.user_notification_preference_tests","Fri Mar 27 11:00:38 UTC 2026","passed","Fri Mar 27 11:00:38 UTC 2026","","test_forbidden_user_notif_pref","",""
"TC-MP-03: Verify Sign In is accessible from Main Page.","1284","TC-MP-03: Verify Sign In is accessible from Main Page","tests.ui.main_page_tests","Fri Mar 27 11:05:48 UTC 2026","passed","Fri Mar 27 11:05:50 UTC 2026","","test_sign_in_from_main_page","",""
