"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that a user can successfully open pages after clicking on buttons in vision cards on the page. ","4288","Test Validation: Click buttons in the vision card after sing in.","tests.ui.about_us_page_tests","Wed Mar 04 11:13:27 UTC 2026","passed","Wed Mar 04 11:13:31 UTC 2026","","test_about_us_page_singin_vision_cards_buttons_check","",""
"Test like one news page like one news","484","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 04 11:12:31 UTC 2026","passed","Wed Mar 04 11:12:32 UTC 2026","","test_eco_news_get_client_request","",""
"This test verifies that a user, who is not signed in, sees the correct behavior after clicking on buttons in vision cards on the page.","35613","Test Validation: Click buttons in the vision card before sign in.","tests.ui.about_us_page_tests","Wed Mar 04 11:12:49 UTC 2026","broken","Wed Mar 04 11:13:25 UTC 2026","","test_about_us_page_nosingin_cards_buttons_check","",""
"Verify user can update name, city and credo on Edit Profile page and changes are saved successfully.","15077","Update basic profile information","tests.ui.edit_profile_page_tests","Wed Mar 04 11:13:41 UTC 2026","broken","Wed Mar 04 11:13:56 UTC 2026","","test_edit_profile_info","",""
"Test like one news page like one news","5448","Test like one news on one news page","tests.ui.news_pages_tests","Wed Mar 04 11:16:02 UTC 2026","passed","Wed Mar 04 11:16:07 UTC 2026","","test_one_news_page_like_one_news","",""
"TC-FR-03: Accept friend request and verify it appears in My Friends after refresh.","13898","TC-FR-03: Accept friend request","tests.ui.friend_request_page_tests","Wed Mar 04 11:14:18 UTC 2026","broken","Wed Mar 04 11:14:32 UTC 2026","","test_fr_accept_friend_request","",""
"Test that 'Habit title' field is required.","372","Check that user is not able to submit a form on the Create Habit page after leaving the 'Title' field empty","tests.ui.habit_form_tests","Wed Mar 04 11:15:00 UTC 2026","passed","Wed Mar 04 11:15:00 UTC 2026","","test_required_title","",""
"Test Friend Page search.","13867","Search friend requests by partial username","tests.ui.friend_request_page_tests","Wed Mar 04 11:14:34 UTC 2026","skipped","Wed Mar 04 11:14:48 UTC 2026","","test_friend_requests_search","",""
"Test eco news request expecting error","501","Verify proper responses when use invalid query params","tests.api.news_api_tests","Wed Mar 04 11:12:30 UTC 2026","passed","Wed Mar 04 11:12:31 UTC 2026","","test_eco_news_get_client_request","",""
"This test verifies that a user can successfully create eco new. ","4310","Test Validation: Create Eco News with Valid Data.","tests.ui.news_pages_tests","Wed Mar 04 11:15:56 UTC 2026","broken","Wed Mar 04 11:16:00 UTC 2026","","test_create_eco_news_with_valid_data","",""
"Testcase that an authorized user can successfully post a comment and delete it.","774","Verify that an authorized user can successfully leave and delete a comment.","tests.api","Wed Mar 04 11:12:35 UTC 2026","passed","Wed Mar 04 11:12:36 UTC 2026","","test_events_comments","",""
"This test verifies that a user cannot successfully create eco news, because of invalid data. ","3013","Test Validation: Create Eco News with Invalid Data. Open Create Eco News page.","tests.ui.news_pages_tests","Wed Mar 04 11:15:51 UTC 2026","broken","Wed Mar 04 11:15:54 UTC 2026","","test_create_eco_news_with_invalid_data","",""
"Check user menu functionality.","24","User menu check","tests.ui.user_menu_test","Wed Mar 04 11:16:20 UTC 2026","failed","Wed Mar 04 11:16:20 UTC 2026","","test_user_menu","",""
"Test like one news page like one news","1066","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 04 11:12:32 UTC 2026","passed","Wed Mar 04 11:12:33 UTC 2026","","test_eco_news_get_client_request","",""
"Test like one news page like one news","3518","Test add event link in my events page","tests.ui.my_space_pages_tests.my_events_page_tests","Wed Mar 04 11:15:45 UTC 2026","broken","Wed Mar 04 11:15:49 UTC 2026","","test_add_event_link_in_my_events_page","",""
"Test eco news request expecting error","447","Verify proper responses when use invalid query params","tests.api.news_api_tests","Wed Mar 04 11:12:30 UTC 2026","passed","Wed Mar 04 11:12:30 UTC 2026","","test_eco_news_get_client_request","",""
"Test like one news page like one news","459","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 04 11:12:33 UTC 2026","passed","Wed Mar 04 11:12:34 UTC 2026","","test_eco_news_get_client_request","",""
"Check slider working","4246","test_slider_keyboard_interaction[chrome]","tests.ui.my_habit_tests","Wed Mar 04 11:15:40 UTC 2026","passed","Wed Mar 04 11:15:44 UTC 2026","","test_slider_keyboard_interaction","",""
"This test verifies that a user can successfully click on form habit buttons. ","4637","Test Validation: About Us Page Buttons Verification.","tests.ui.about_us_page_tests","Wed Mar 04 11:12:43 UTC 2026","passed","Wed Mar 04 11:12:48 UTC 2026","","test_about_us_page_buttons_verification","",""
"Function to test header navigation.","4523","Header navigation test.","tests.ui.header_navigation_tests","Wed Mar 04 11:15:09 UTC 2026","passed","Wed Mar 04 11:15:13 UTC 2026","","test_header_navigation","",""
"Testcase that an anonymous user cannot post a comment on an event.","394","Verify that an unauthorized user cannot leave a comment","tests.api","Wed Mar 04 11:12:34 UTC 2026","passed","Wed Mar 04 11:12:34 UTC 2026","","test_events_comments","",""
