2026-03-06 14:51:20,698 - GreenCityLogger - INFO - logger.py  - start_step - [ALLURE STEP] User signs in with valid credentials
2026-03-06 14:51:20,710 - GreenCityLogger - INFO - logger.py  - start_step - [ALLURE STEP] Clicking signin button in the header
2026-03-06 14:51:21,425 - GreenCityLogger - INFO - logger.py  - start_step - [ALLURE STEP] Sign in
2026-03-06 14:51:22,234 - GreenCityLogger - INFO - logger.py  - start_step - [ALLURE STEP] User opens Edit Profile page
2026-03-06 14:51:22,251 - GreenCityLogger - INFO - logger.py  - start_step - [ALLURE STEP] Click on Edit profile button on Profile Banner component
2026-03-06 14:51:22,441 - GreenCityLogger - INFO - logger.py  - start_step - [ALLURE STEP] User updates privacy settings
2026-03-06 14:51:22,441 - GreenCityLogger - INFO - logger.py  - start_step - [ALLURE STEP] Set 'Show my location' to 'Показувати всім'
2026-03-06 14:51:32,455 - GreenCityLogger - WARNING - logger.py  - stop_step - [ALLURE STEP FAILED] NoSuchElementException: Message: Lazy resolution failed: Element via 'xpath'='//div[contains(text(),'Показувати моє місцезнаходження')]/ancestor::li//mat-select' not found.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception

2026-03-06 14:51:32,456 - GreenCityLogger - WARNING - logger.py  - stop_step - [ALLURE STEP FAILED] NoSuchElementException: Message: Lazy resolution failed: Element via 'xpath'='//div[contains(text(),'Показувати моє місцезнаходження')]/ancestor::li//mat-select' not found.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception

