2026-03-06 14:51:34,973 - GreenCityLogger - INFO - logger.py  - start_step - [ALLURE STEP] User signs in with valid credentials
2026-03-06 14:51:34,986 - GreenCityLogger - INFO - logger.py  - start_step - [ALLURE STEP] Clicking signin button in the header
2026-03-06 14:51:35,687 - GreenCityLogger - INFO - logger.py  - start_step - [ALLURE STEP] Sign in
2026-03-06 14:51:36,491 - GreenCityLogger - INFO - logger.py  - start_step - [ALLURE STEP] User opens Edit Profile page
2026-03-06 14:51:36,500 - GreenCityLogger - INFO - logger.py  - start_step - [ALLURE STEP] Click on Edit profile button on Profile Banner component
2026-03-06 14:51:36,699 - GreenCityLogger - INFO - logger.py  - start_step - [ALLURE STEP] User updates privacy settings
2026-03-06 14:51:36,699 - GreenCityLogger - INFO - logger.py  - start_step - [ALLURE STEP] Set 'Show my location' to 'Показувати тільки мені'
2026-03-06 14:51:46,754 - GreenCityLogger - WARNING - logger.py  - stop_step - [ALLURE STEP FAILED] NoSuchElementException: Message: Lazy resolution failed: Element via 'xpath'='//div[contains(text(),'Показувати моє місцезнаходження')]/ancestor::li//mat-select' not found.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception

2026-03-06 14:51:46,754 - GreenCityLogger - WARNING - logger.py  - stop_step - [ALLURE STEP FAILED] NoSuchElementException: Message: Lazy resolution failed: Element via 'xpath'='//div[contains(text(),'Показувати моє місцезнаходження')]/ancestor::li//mat-select' not found.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception

